energy (eV),13027->13027,13027->8016,8016->13027,8016->8016
18,1,0,0,1
19.8,1,0,0.00126922,0.998731
21.78,1,0,0.00816659,0.991833
23.958,1,0,0.0187325,0.981268
26.3538,1,0,0.0319287,0.968071
28.9892,1,0,0.0482197,0.95178
31.8881,1,0,0.0670038,0.932996
35.0769,1,0,0.088589,0.911411
38.5846,1.01059,0,0.112816,0.887186
42.4431,1.02963,0,0.139729,0.860319
46.6874,1.05473,0,0.169077,0.831145
51.3561,1.08497,0,0.200757,0.799861
56.4917,1.11913,0,0.234613,0.766726
62.1409,1.15764,0,0.270453,0.73204
68.355,1.20072,0,0.311864,0.714097
75.1905,1.24875,0,0.359469,0.70442
82.7095,1.29725,0.00439885,0.414461,0.696527
90.9805,1.34646,0.0131261,0.476137,0.688234
100.079,1.39916,0.0249966,0.544842,0.68073
110.086,1.45573,0.0397535,0.620269,0.673401
121.095,1.52078,0.0573087,0.702306,0.666753
133.204,1.60473,0.0776684,0.790967,0.661624
146.525,1.70269,0.100899,0.887014,0.659625
161.177,1.81351,0.127114,0.997391,0.672544
177.295,1.93691,0.156535,1.12056,0.693149
195.025,2.07422,0.189449,1.25704,0.719825
214.527,2.22733,0.226174,1.40754,0.751722
235.98,2.39635,0.267065,1.5735,0.78865
259.578,2.58254,0.31251,1.75657,0.831218
285.536,2.78781,0.36294,1.9581,0.879102
314.089,3.01499,0.418829,2.1799,0.932826
345.498,3.26519,0.480699,2.42413,0.993036
380.048,3.53937,0.549123,2.6927,1.05973
418.053,3.84262,0.624738,2.988,1.13383
459.858,4.17499,0.708236,3.31263,1.21546
505.844,4.54112,0.800387,3.66964,1.30578
556.428,4.94358,0.902029,4.06209,1.40547
612.071,5.38639,1.01409,4.49319,1.51483
673.278,5.87428,1.13758,4.96712,1.63565
740.606,6.41023,1.27362,5.48744,1.76818
814.667,6.99887,1.42342,6.0587,1.91366
896.133,7.64591,1.58835,6.68652,2.07364
985.747,8.35697,1.76984,7.37499,2.24904
1084.32,9.13862,1.96955,8.13107,2.44171
1192.75,9.99779,2.18924,8.96053,2.65298
1312.03,10.9422,2.43086,9.87075,2.88517
1443.23,11.9802,2.69654,10.8691,3.13971
1587.55,13.1211,2.98864,11.9638,3.41873
1746.31,14.375,3.30973,13.1636,3.72433
1920.94,15.7529,3.66261,14.4784,4.05913
2113.04,17.2672,4.05038,15.9186,4.4257
2324.34,18.9309,4.47641,17.4956,4.8269
2556.77,20.7586,4.94435,19.2212,5.26589
2812.45,22.7667,5.45838,21.1099,5.74625
3093.7,24.9726,6.02282,23.1746,6.27108
3403.06,27.395,6.64254,25.4309,6.84429
3743.37,30.0553,7.32293,27.8959,7.47016
4117.71,32.9757,8.06962,30.5858,8.1527
4529.48,36.1816,8.88905,33.5202,8.89687
4982.43,39.6999,9.78802,36.7182,9.70739
5480.67,43.5608,10.7742,40.2016,10.5897
6028.74,47.7962,11.8555,43.9915,11.5491
6631.61,52.4402,13.0408,48.1097,12.5909
7294.77,57.5325,14.3399,52.5821,13.7217
8024.25,63.1136,15.7632,57.4323,14.9472
8826.67,69.2282,17.3218,62.6856,16.2737
9709.34,75.9245,19.0279,68.3678,17.7076
10680.3,83.2547,20.8947,74.5051,19.2552
11748.3,91.2749,22.9364,81.1234,20.923
12923.1,100.045,25.168,88.2485,22.7174
14215.4,109.631,27.6058,95.9055,24.6442
15637,120.1,30.2671,104.118,26.7095
17200.7,131.526,33.1703,112.909,28.9184
18920.8,143.985,36.3346,122.298,31.2758
20812.8,157.557,39.7796,132.301,33.7853
22894.1,172.333,43.5286,142.936,36.4513
25183.5,188.383,47.5987,154.204,39.2735
27701.9,205.835,52.0219,166.129,42.2576
30472.1,224.754,56.8145,178.7,45.4008
33519.3,245.223,61.997,191.91,48.7005
36871.2,267.37,67.6015,205.762,52.1575
40558.3,291.274,73.647,220.238,55.7664
44614.2,317.033,80.158,235.32,59.5226
49075.6,344.739,87.1572,250.983,63.4195
53983.1,374.479,94.6656,267.198,67.4494
59381.4,406.33,102.702,283.93,71.6031
65319.6,440.34,111.278,301.136,75.8694
71851.5,476.576,120.409,318.773,80.2373
79036.7,515.084,130.107,336.794,84.6948
86940.4,555.899,140.378,355.151,89.2294
95634.4,599.039,151.226,373.791,93.8281
100000,619.02,156.248,382.459,95.9644
