energy (eV),13027->13027,13027->8016,8016->13027,8016->8016
18,1,0,0,1
19.8,1,0,0.00101124,0.998989
21.78,1,0,0.00620437,0.993796
23.958,1,0,0.014143,0.985857
26.3538,1,0,0.0240599,0.97594
28.9892,1,0,0.0362988,0.963701
31.8881,1,0,0.0504095,0.94959
35.0769,1,0,0.0666236,0.933376
38.5846,1.00793,0,0.0848172,0.915183
42.4431,1.02217,0,0.105053,0.894975
46.6874,1.04079,0,0.127193,0.872934
51.3561,1.06371,0,0.151161,0.849188
56.4917,1.08933,0,0.176904,0.823852
62.1409,1.11883,0,0.204337,0.79707
68.355,1.1514,0,0.235436,0.782906
75.1905,1.1867,0,0.271089,0.775474
82.7095,1.22002,0.00571782,0.312371,0.769013
90.9805,1.25223,0.0169991,0.358802,0.762317
100.079,1.28447,0.0323587,0.410516,0.755858
110.086,1.31825,0.0514475,0.46721,0.749493
121.095,1.35859,0.074154,0.528767,0.7437
133.204,1.41689,0.100466,0.595005,0.739196
146.525,1.48782,0.130459,0.666537,0.738213
161.177,1.56923,0.164259,0.749372,0.755878
177.295,1.66047,0.202147,0.841929,0.782896
195.025,1.76308,0.244492,0.944592,0.817487
214.527,1.87751,0.291707,1.05796,0.858607
235.98,2.00453,0.344242,1.18322,0.90689
259.578,2.14442,0.4026,1.32123,0.961719
285.536,2.29884,0.467334,1.47309,1.02338
314.089,2.46873,0.539054,1.64035,1.09231
345.498,2.65761,0.618428,1.82467,1.17004
380.048,2.86371,0.706198,2.02726,1.2554
418.053,3.09242,0.803177,2.25031,1.35073
459.858,3.34278,0.910254,2.49543,1.45561
505.844,3.61851,1.02841,2.76499,1.57163
556.428,3.92201,1.15873,3.06132,1.69968
612.071,4.25574,1.3024,3.38701,1.84026
673.278,4.62341,1.46072,3.745,1.99564
740.606,5.02701,1.63512,4.13835,2.1661
814.667,5.47034,1.82718,4.57053,2.35355
896.133,5.9575,2.03863,5.04536,2.55973
985.747,6.49291,2.27134,5.56642,2.78588
1084.32,7.08141,2.5274,6.1384,3.03409
1192.75,7.72836,2.80913,6.76671,3.30668
1312.03,8.43944,3.11896,7.45579,3.60609
1443.23,9.22111,3.4597,8.21211,3.93452
1587.55,10.0803,3.83433,9.04154,4.29456
1746.31,11.0246,4.24617,9.95103,4.68918
1920.94,12.0626,4.69884,10.948,5.12157
2113.04,13.2032,5.19632,12.0407,5.59528
2324.34,14.4567,5.74295,13.2376,6.11394
2556.77,15.8341,6.3435,14.5484,6.68198
2812.45,17.3473,7.0032,15.9831,7.30353
3093.7,19.01,7.72775,17.5527,7.98312
3403.06,20.8362,8.52333,19.2683,8.7255
3743.37,22.842,9.39695,21.1438,9.53665
4117.71,25.0444,10.356,23.1919,10.4219
4529.48,27.4623,11.4084,25.4266,11.3872
4982.43,30.1168,12.5635,27.8644,12.4396
5480.67,33.0298,13.8305,30.52,13.5854
6028.74,36.2259,15.2202,33.4112,14.8321
6631.61,39.7323,16.7442,36.5562,16.1874
7294.77,43.5777,18.4148,39.9733,17.659
8024.25,47.7932,20.2455,43.6813,19.2549
8826.67,52.4128,22.2507,47.7002,20.9834
9709.34,57.4735,24.4465,52.0502,22.8531
10680.3,63.0149,26.8497,56.7518,24.8726
11748.3,69.0798,29.4788,61.8255,27.0504
12923.1,75.7142,32.3534,67.2917,29.3951
14215.4,82.9673,35.4946,73.1703,31.9148
15637,90.8919,38.9249,79.4802,34.6173
17200.7,99.5439,42.6684,86.2393,37.5101
18920.8,108.983,46.7504,93.4642,40.5998
20812.8,119.272,51.1978,101.169,43.8921
22894.1,130.473,56.0368,109.365,47.391
25183.5,142.66,61.2992,118.062,51.1012
27701.9,155.889,67.0084,127.26,55.0213
30472.1,170.261,73.2075,136.974,59.1576
33519.3,185.829,79.919,147.194,63.5051
36871.2,202.655,87.1688,157.908,68.0586
40558.3,220.842,95.0003,169.117,72.8178
44614.2,240.446,103.438,180.803,77.7739
49075.6,261.545,112.513,192.946,82.9189
53983.1,284.206,122.254,205.526,88.2427
59381.4,308.493,132.687,218.515,93.7333
65319.6,334.458,143.834,231.881,99.3768
71851.5,362.134,155.708,245.589,105.157
79036.7,391.563,168.326,259.601,111.059
86940.4,422.776,181.698,273.88,117.064
95634.4,455.787,195.831,288.385,123.157
100000,471.076,202.374,295.128,125.986
