energy (eV), d(13027->13027) / d(13027), d(13027->13027) / d(8016), d(13027->8016) / d(13027), d(13027->8016) / d(8016), d(8016->13027) / d(13027), d(8016->13027) / d(8016), d(8016->8016) / d(13027), d(8016->8016) / d(8016)
18,0,0,0,0,0,0,0,0
19.8,0,0,0,0,0.00197406,-0.00117054,-0.00197406,0.00117054
21.78,0,0,0,0,0.0126558,-0.00758643,-0.0126558,0.00758643
23.958,0,0,0,0,0.028868,-0.0175998,-0.028868,0.0175998
26.3538,0,0,0,0,0.0489599,-0.0302716,-0.0489599,0.0302716
28.9892,0,0,0,0,0.0737624,-0.0459731,-0.0737624,0.0459731
31.8881,0,0,0,0,0.102273,-0.0641963,-0.102273,0.0641963
35.0769,0,0,0,0,0.135027,-0.0851973,-0.135027,0.0851973
38.5846,0.0156666,-0.00987562,0,0,0.171657,-0.108814,-0.171654,0.108812
42.4431,0.0450897,-0.0279552,0,0,0.212169,-0.135001,-0.212025,0.13491
46.6874,0.0824638,-0.0520918,0,0,0.255948,-0.163348,-0.255275,0.162928
51.3561,0.128984,-0.0814809,0,0,0.302448,-0.193539,-0.300573,0.192365
56.4917,0.180705,-0.115069,0,0,0.351029,-0.225164,-0.346974,0.22261
62.1409,0.241512,-0.153343,0,0,0.401044,-0.25781,-0.393495,0.253036
68.355,0.308428,-0.196634,0,0,0.462653,-0.298088,-0.41885,0.26928
75.1905,0.383343,-0.245459,0,0,0.535943,-0.345676,-0.430938,0.278097
82.7095,0.47443,-0.304563,-0.0071012,0.00487583,0.61946,-0.399755,-0.439537,0.283797
90.9805,0.57969,-0.37395,-0.0213169,0.0145193,0.712789,-0.460014,-0.44595,0.288862
100.079,0.700696,-0.45389,-0.0407688,0.0276351,0.816138,-0.526952,-0.452227,0.292405
110.086,0.838036,-0.544264,-0.0650122,0.0439174,0.93064,-0.600966,-0.456501,0.295579
121.095,0.985517,-0.641414,-0.0938562,0.0632418,1.05613,-0.682224,-0.460685,0.298233
