energy (eV), d(13027->13027) / d(13027), d(13027->13027) / d(8016), d(13027->8016) / d(13027), d(13027->8016) / d(8016), d(8016->13027) / d(13027), d(8016->13027) / d(8016), d(8016->8016) / d(13027), d(8016->8016) / d(8016)
133.204,1.13901,-0.741897,-0.12725,0.0855705,1.19381,-0.771425,-0.464092,0.300166
146.525,1.30105,-0.847829,-0.165225,0.110919,1.34521,-0.869485,-0.467731,0.302908
161.177,1.47928,-0.963608,-0.207875,0.139358,1.51468,-0.978604,-0.492918,0.320752
177.295,1.67292,-1.09016,-0.255527,0.171109,1.70188,-1.09932,-0.529331,0.345305
195.025,1.88489,-1.22806,-0.30865,0.206489,1.90854,-1.2326,-0.573775,0.375034
214.527,2.11686,-1.37986,-0.367756,0.245842,2.13671,-1.37914,-0.62591,0.410287
235.98,2.37256,-1.54637,-0.433413,0.289544,2.38856,-1.54036,-0.685634,0.451571
259.578,2.6534,-1.7296,-0.506237,0.338014,2.66561,-1.71803,-0.753555,0.497266
285.536,2.96169,-1.93065,-0.586916,0.391712,2.97095,-1.91346,-0.829397,0.548637
314.089,3.3016,-2.15262,-0.676197,0.451138,3.30735,-2.12818,-0.914314,0.606535
345.498,3.67569,-2.39628,-0.774908,0.51685,3.67795,-2.3644,-1.00859,0.670941
380.048,4.08815,-2.66487,-0.883952,0.589457,4.0855,-2.62379,-1.11359,0.742156
418.053,4.53993,-2.95942,-1.00433,0.669634,4.53454,-2.90874,-1.22894,0.820949
459.858,5.03809,-3.28337,-1.13714,0.758117,5.02851,-3.2215,-1.35647,0.908282
505.844,5.58563,-3.63951,-1.28358,0.855714,5.57201,-3.56505,-1.49684,1.00442
556.428,6.18831,-4.03144,-1.44497,0.963323,6.1702,-3.94225,-1.65185,1.11067
612.071,6.85178,-4.46253,-1.62277,1.08192,6.82826,-4.35606,-1.82176,1.22775
673.278,7.5833,-4.93749,-1.81854,1.21257,7.55225,-4.81014,-2.00916,1.35714
740.606,8.38806,-5.45978,-2.03404,1.35649,8.3488,-5.30795,-2.21498,1.49961
814.667,9.27363,-6.03407,-2.27117,1.51496,9.22516,-5.85357,-2.44123,1.65675
896.133,10.2479,-6.66554,-2.53204,1.68939,10.188,-6.45181,-2.68957,1.82948
985.747,11.32,-7.35959,-2.81888,1.88139,11.2473,-7.10632,-2.96157,2.01979
1084.32,12.4996,-8.12267,-3.13431,2.09268,12.4128,-7.82421,-3.25997,2.22899
1192.75,13.7973,-8.96126,-3.48098,2.32511,13.6934,-8.60936,-3.58632,2.45886
1312.03,15.2252,-9.88298,-3.86197,2.58082,15.1022,-9.46911,-3.94443,2.7122
1443.23,16.7958,-10.8957,-4.28047,2.862,16.6496,-10.4088,-4.33577,2.99026
1587.55,18.524,-12.0086,-4.74019,3.17124,18.3513,-11.4367,-4.76386,3.29587
1746.31,20.4252,-13.2313,-5.24501,3.51125,20.2217,-12.5599,-5.23146,3.63165
1920.94,22.5168,-14.5745,-5.79922,3.88505,22.2771,-13.7863,-5.74213,4.00048
2113.04,24.8178,-16.0498,-6.40752,4.29595,24.5355,-15.1247,-6.2994,4.40554
2324.34,27.349,-17.6699,-7.07501,4.74757,27.0167,-16.5844,-6.90713,4.85027
2556.77,30.1339,-19.4487,-7.80723,5.24396,29.7429,-18.1745,-7.56966,5.33911
2812.45,33.1972,-21.4018,-8.61038,5.78938,32.7367,-19.9068,-8.29146,5.87547
3093.7,36.5676,-23.5458,-9.49099,6.38875,36.0247,-21.791,-9.07665,6.46421
3403.06,40.2757,-25.8985,-10.4563,7.04731,39.6351,-23.8388,-9.93007,7.11029
3743.37,44.3541,-28.4801,-11.5141,7.77076,43.5975,-26.0625,-10.8568,7.8189
4117.71,48.8408,-31.3113,-12.6729,8.56555,47.9464,-28.4734,-11.8618,8.59596
4529.48,53.7759,-34.4159,-13.942,9.43854,52.7174,-31.085,-12.9505,9.44775
4982.43,59.2054,-37.8183,-15.3309,10.3976,57.9511,-33.9087,-14.1281,10.3813
5480.67,65.1776,-41.5466,-16.8507,11.4508,63.6889,-36.9583,-15.4002,11.404
6028.74,71.7471,-45.63,-18.5128,12.6076,69.9776,-40.2459,-16.772,12.524
6631.61,78.9735,-50.0993,-20.3292,13.8779,76.8668,-43.7826,-18.2484,13.7497
7294.77,86.9196,-54.9897,-22.3135,15.2722,84.4071,-47.581,-19.8346,15.09
8024.25,95.6587,-60.3377,-24.4799,16.8029,92.6575,-51.6522,-21.5356,16.5549
8826.67,105.27,-66.1828,-26.8435,18.4831,101.679,-56.006,-23.3557,18.1551
9709.34,115.836,-72.5657,-29.42,20.3267,111.535,-60.6499,-25.2981,19.901
10680.3,127.452,-79.5308,-32.2262,22.3494,122.292,-65.5905,-27.366,21.8042
11748.3,140.22,-87.1248,-35.2799,24.568,134.021,-70.8322,-29.5614,23.8767
12923.1,154.252,-95.3969,-38.5997,27.0011,146.798,-76.3769,-31.8855,26.1308
14215.4,169.669,-104.398,-42.2049,29.6685,160.697,-82.2238,-34.3381,28.5795
15637,186.606,-114.183,-46.1151,32.5922,175.799,-88.3685,-36.9179,31.2355
17200.7,205.206,-124.805,-50.3509,35.7955,192.182,-94.8034,-39.6217,34.1119
18920.8,225.628,-136.319,-54.9323,39.3045,209.926,-101.516,-42.445,37.2215
20812.8,248.046,-148.779,-59.8789,43.1475,229.112,-108.492,-45.3811,40.5772
22894.1,272.628,-162.242,-65.2105,47.3508,249.808,-115.709,-48.4219,44.1894
25183.5,299.592,-176.745,-70.9412,51.951,272.092,-123.14,-51.5561,48.0706
27701.9,329.136,-192.376,-77.1013,56.9779,296.032,-130.767,-54.7754,52.2305
30472.1,361.463,-209.135,-83.6895,62.4651,321.667,-138.547,-58.0622,56.674
33519.3,396.91,-227.094,-90.7325,68.4679,349.088,-146.455,-61.4056,61.4153
36871.2,435.628,-246.27,-98.2321,75.0078,378.297,-154.447,-64.787,66.4524
40558.3,477.92,-266.685,-106.195,82.1339,409.327,-162.485,-68.1898,71.7888
44614.2,524.063,-288.356,-114.624,89.89,442.189,-170.53,-71.5966,77.4243
49075.6,574.348,-311.285,-123.517,98.3217,476.881,-178.541,-74.9897,83.3559
53983.1,629.072,-335.458,-132.865,107.476,513.38,-186.48,-78.3516,89.5776
59381.4,688.54,-360.845,-142.653,117.4,551.65,-194.307,-81.6649,96.0807
65319.6,753.074,-387.388,-152.854,128.145,591.637,-201.986,-84.913,102.854
71851.5,822.929,-415.006,-163.436,139.75,633.259,-209.482,-88.0802,109.881
79036.7,898.382,-443.619,-174.361,152.257,676.425,-216.768,-91.1527,117.144
86940.4,979.705,-473.126,-185.588,165.707,721.031,-223.817,-94.1188,124.624
95634.4,1067.14,-503.41,-197.068,180.138,766.959,-230.61,-96.9685,132.3
100000,1108.7,-516.714,-202.124,187.005,788.546,-233.635,-98.2361,135.899
