energy (eV),73180->73180,73180->8016,8016->73180,8016->8016
60,1,0,0,1
63,1,0,0,1
66.15,1,0,0,1
69.4575,1,0,0,1
72.9304,1,0,0,1
76.5769,1,0,0,1
80.4057,1,0,0,1
84.426,1,0,0,1
88.6473,1,0,0,1
93.0797,1,0,0,1
97.7337,1,0,0,1
102.62,1,0,0,1
107.751,1,0,0,1
113.139,1,0,0,1
118.796,1,0,0,1
124.736,1.00698,0,0,1.00427
130.972,1.01832,0,0,1.01323
137.521,1.03384,0,0,1.02578
144.397,1.05224,0,0,1.04041
151.617,1.0737,0,0,1.05754
159.198,1.09702,0,0,1.07671
167.158,1.12299,0,0,1.09768
175.516,1.15198,0,0,1.1212
184.291,1.18278,0,0,1.1463
193.506,1.21664,0,0,1.17373
203.181,1.25254,0.000929387,0.000522436,1.20299
213.34,1.2909,0.00524086,0.00519598,1.23425
224.007,1.33158,0.0114058,0.0122571,1.26754
235.208,1.37494,0.0193994,0.0214577,1.3027
246.968,1.42067,0.028922,0.0325686,1.33989
259.317,1.46916,0.0400258,0.0456548,1.37925
272.282,1.52036,0.0526759,0.0606064,1.42057
285.896,1.57457,0.0668812,0.0775167,1.46419
300.191,1.63163,0.0826612,0.0963951,1.50989
315.201,1.69091,0.100038,0.117267,1.55774
330.961,1.75376,0.119035,0.140141,1.60797
347.509,1.81982,0.139678,0.165065,1.66059
364.884,1.88886,0.162,0.192085,1.71561
383.129,1.96188,0.186039,0.221199,1.77324
402.285,2.03811,0.211848,0.252538,1.83339
422.399,2.11808,0.239484,0.286111,1.89623
443.519,2.20168,0.269035,0.322044,1.96178
465.695,2.28942,0.300588,0.360442,2.03018
488.98,2.3811,0.334239,0.401405,2.10142
513.429,2.47745,0.370088,0.445076,2.17579
539.1,2.57817,0.408241,0.491579,2.25331
566.055,2.6835,0.448813,0.541059,2.33396
594.358,2.7938,0.491925,0.593669,2.41798
624.076,2.90908,0.537709,0.649548,2.50547
655.28,3.02986,0.586302,0.708872,2.5966
688.044,3.15618,0.637851,0.771834,2.69135
722.446,3.28815,0.69251,0.838598,2.78991
758.568,3.42605,0.750442,0.909384,2.89242
796.497,3.57068,0.811819,0.984409,2.99915
836.322,3.72179,0.87682,1.06379,3.10996
878.138,3.87979,0.94564,1.14791,3.2254
922.045,4.04492,1.01848,1.23697,3.34544
968.147,4.21774,1.09556,1.3312,3.47028
1016.55,4.39891,1.17709,1.43091,3.60019
1067.38,4.58816,1.2633,1.53628,3.73522
1120.75,4.78612,1.35446,1.6478,3.87574
1176.79,4.99312,1.45081,1.76555,4.02178
1235.63,5.20974,1.55264,1.89016,4.17379
1297.41,5.43651,1.66021,2.02145,4.3315
1362.28,5.67382,1.77385,2.16042,4.49589
1430.39,5.92219,1.89387,2.30703,4.66665
1501.91,6.18226,2.02059,2.46176,4.84429
1577.01,6.45423,2.15437,2.625,5.02883
1655.86,6.73886,2.29557,2.79719,5.22066
1738.65,7.0367,2.44459,2.97882,5.42006
1825.59,7.3485,2.60185,3.17066,5.62771
1916.86,7.67488,2.76771,3.37237,5.843
2012.71,8.01699,2.9427,3.58536,6.06722
2113.34,8.37498,3.12723,3.80962,6.30005
2219.01,8.74976,3.32184,4.04606,6.54221
2329.96,9.14202,3.52699,4.29487,6.79361
2446.46,9.55272,3.74328,4.55709,7.05506
2568.78,9.98275,3.97125,4.83315,7.32677
2697.22,10.433,4.2115,5.12375,7.60907
2832.08,10.9044,4.46467,5.42958,7.90235
2973.69,11.3981,4.73142,5.7514,8.20711
3122.37,11.9151,5.01244,6.09002,8.52378
3278.49,12.4565,5.30845,6.44611,8.85269
3442.41,13.0235,5.62019,6.82042,9.19424
3614.53,13.6173,5.94849,7.21399,9.54905
3795.26,14.2393,6.2942,7.6277,9.91758
3985.02,14.8911,6.65813,8.06225,10.3002
4184.28,15.5738,7.0413,8.51899,10.6977
4393.49,16.2891,7.44468,8.99877,11.1105
4613.16,17.0381,7.86909,9.50203,11.5386
4843.82,17.8229,8.31586,10.0309,11.9834
5086.01,18.645,8.78589,10.5854,12.4447
5340.31,19.5063,9.28055,11.1677,12.9239
5607.33,20.4084,9.80086,11.7781,13.4208
5887.7,21.3538,10.3483,12.4187,13.9368
6182.08,22.3439,10.924,13.0896,14.4716
6491.18,23.3817,11.5298,13.7936,15.0271
6815.74,24.4686,12.1665,14.5303,15.6023
7156.53,25.6079,12.8363,15.3028,16.1997
7514.36,26.8015,13.5406,16.1117,16.8189
7890.08,28.0519,14.2808,16.9578,17.4604
8284.58,29.3625,15.0593,17.8438,18.1258
8698.81,30.736,15.8777,18.7711,18.8156
9133.75,32.1746,16.7374,19.74,19.5298
9590.44,33.6825,17.6413,20.7533,20.27
10070,35.2629,18.5913,21.8126,21.0369
10573.5,36.9192,19.5897,22.9196,21.8314
11102.1,38.655,20.6388,24.076,22.6542
11657.2,40.4742,21.7411,25.2834,23.5061
12240.1,42.3807,22.8991,26.5436,24.388
12852.1,44.3777,24.115,27.8574,25.2999
13494.7,46.4713,25.3926,29.228,26.2439
14169.4,48.6656,26.7346,30.6572,27.2205
14877.9,50.9653,28.1441,32.1466,28.2306
15621.8,53.3758,29.6243,33.6982,29.2752
16402.9,55.9021,31.1788,35.314,30.3551
17223,58.55,32.8111,36.9957,31.4713
18084.2,61.3252,34.5249,38.7454,32.6245
18988.4,64.2341,36.3242,40.565,33.8158
19937.8,67.2827,38.2131,42.4564,35.0461
20934.7,70.4781,40.1959,44.4215,36.3162
21981.5,73.8273,42.2773,46.4625,37.6271
23080.5,77.3377,44.4619,48.5812,38.9798
24234.6,81.017,46.7547,50.7794,40.3751
25446.3,84.8735,49.161,53.0591,41.8139
26718.6,88.9156,51.6861,55.4222,43.2971
28054.5,93.1522,54.3358,57.8702,44.8254
29457.3,97.5926,57.1159,60.4052,46.3997
30930.1,102.247,60.0328,63.0286,48.0207
32476.6,107.125,63.093,65.7422,49.6893
34100.5,112.237,66.3033,68.5474,51.4061
35805.5,117.596,69.6708,71.4459,53.1718
37595.7,123.212,73.203,74.439,54.9871
39475.5,129.099,76.9077,77.528,56.8525
41449.3,135.268,80.7932,80.714,58.7685
43521.8,141.734,84.8679,83.9984,60.7357
45697.9,148.51,89.1409,87.3819,62.7545
47982.8,155.611,93.6215,90.8655,64.8252
50381.9,163.054,98.3195,94.4499,66.9481
52901,170.854,103.245,98.1358,69.1234
55546,179.028,108.409,101.924,71.3513
58323.3,187.593,113.823,105.814,73.6319
61239.5,196.57,119.497,109.806,75.9651
64301.5,205.976,125.446,113.901,78.3508
67516.6,215.827,131.677,118.097,80.7885
70892.4,226.156,138.212,122.396,83.2786
74437,236.976,145.059,126.797,85.8203
78158.9,248.311,152.233,131.297,88.4132
82066.8,260.189,159.752,135.898,91.0569
86170.1,272.632,167.629,140.598,93.7506
90478.6,285.668,175.882,145.396,96.4937
95002.6,299.327,184.529,150.29,99.2855
99752.7,313.631,193.585,155.279,102.125
104740,328.619,203.075,160.361,105.011
109977,344.317,213.013,165.535,107.942
115476,360.759,223.422,170.798,110.918
121250,377.979,234.323,176.149,113.937
127313,396.014,245.739,181.584,116.998
133678,414.902,257.694,187.102,120.1
140362,434.681,270.211,192.7,123.24
147380,455.393,283.317,198.381,126.421
154749,477.081,297.038,204.194,129.67
162487,499.789,311.403,210.061,132.944
170611,523.564,326.441,215.983,136.242
179142,548.455,342.181,221.954,139.562
188099,574.548,358.678,227.973,142.903
197504,601.81,375.911,234.031,146.26
207379,630.358,393.954,240.126,149.632
217748,660.291,412.868,246.253,153.017
228635,691.548,432.615,252.405,156.409
240067,724.342,453.327,258.579,159.808
252070,758.567,474.94,264.759,163.206
264674,794.475,497.609,270.941,166.599
277907,831.945,521.26,277.114,169.982
291803,871.236,546.053,283.275,173.354
306393,912.255,571.932,289.417,176.71
321712,955.232,599.04,295.536,180.047
337798,1000.12,627.346,301.623,183.363
354688,1047.11,656.972,307.674,186.655
372422,1096.22,687.924,313.683,189.918
391044,1147.58,720.287,319.645,193.151
410596,1201.24,754.098,325.554,196.351
431125,1257.36,789.446,331.407,199.515
452682,1315.99,826.362,337.199,202.642
475316,1377.28,864.953,342.925,205.729
499082,1441.29,905.24,348.582,208.773
524036,1508.2,947.348,354.165,211.774
550237,1578.11,991.331,359.671,214.728
577749,1651.04,1037.2,365.098,217.636
606637,1727.28,1085.15,370.442,220.495
636969,1806.9,1135.21,375.702,223.305
668817,1890.04,1187.47,380.875,226.064
702258,1976.81,1242,385.961,228.773
737371,2067.37,1298.9,390.959,231.43
774239,2161.85,1358.25,395.868,234.036
812951,2260.41,1420.15,400.688,236.591
853599,2363.2,1484.69,405.419,239.096
