energy (eV),92238->92238,92238->6012,6012->92238,6012->6012
10,1,0,0,1
10.5,1,0,0,1
11.025,1,0,0,1
11.5763,1,0,0,1
12.1551,1,0,0,1
12.7628,1,0,0,1
13.401,1,0,0,1
14.071,1,0,0,1
14.7746,1,0,0,1
15.5133,1,0,0,1
16.2889,1,0,0,1
17.1034,1,0,0,1
17.9586,1,0,0,1
18.8565,1,0,0,1
19.7993,1,0,0,1
20.7893,1.00644,0,0,1
21.8287,1.0194,0,0,1
22.9202,1.036,0,0,1
24.0662,1.05585,0,0,1
25.2695,1.07941,0,0,1
26.533,1.10559,0,0,1
27.8596,1.13473,0,0,1
29.2526,1.16634,0,0,1
30.7152,1.20088,0,0,1
32.251,1.23805,0,0,1
33.8635,1.27748,0,0,1
35.5567,1.3199,0,0,1
37.3346,1.36523,0,0,1
39.2013,1.41323,0,0,1
41.1614,1.46401,0,0,1
43.2194,1.51777,0,0,1
45.3804,1.57464,0,0,1
47.6494,1.63445,0,0,1
50.0319,1.69746,0,0,1
52.5335,1.76356,0,0,1
55.1602,1.83335,0,0.000101537,0.999898
57.9182,1.90663,0,0.0035012,0.996499
60.8141,1.98354,0,0.0099095,0.99009
63.8548,2.06453,0,0.0186961,0.981304
67.0475,2.14932,0,0.0297533,0.970247
70.3999,2.23856,0,0.0429727,0.957491
73.9199,2.33215,0,0.0584561,0.962304
77.6159,2.43029,0,0.0761449,0.966908
81.4967,2.53289,0,0.0959841,0.968388
85.5715,2.64106,0,0.118008,0.969384
89.8501,2.75389,0,0.142229,0.970158
94.3426,2.87225,0,0.168681,0.970726
99.0597,2.99646,0,0.197386,0.971086
104.013,3.12633,0,0.228405,0.971289
109.213,3.26258,0,0.26179,0.971364
114.674,3.40504,0,0.297573,0.971333
120.408,3.5544,0,0.335893,0.971216
126.428,3.71054,0,0.376834,0.974511
132.749,3.87429,0,0.420494,0.981727
139.387,4.04581,0,0.467035,0.991717
146.356,4.22517,0,0.516659,1.00399
153.674,4.4129,0,0.569412,1.01857
161.358,4.6091,0,0.625468,1.03509
169.426,4.81486,0,0.685099,1.05364
177.897,5.02998,0,0.748332,1.07409
186.792,5.25533,0,0.81549,1.09625
196.131,5.49079,0,0.886659,1.12014
205.938,5.7374,0,0.962122,1.14578
