energy (eV),92238->92238,92238->6012,6012->92238,6012->6012
13677.8,49.9582,121.137,17.6218,88.9938
14361.7,52.2753,127.308,18.4634,91.7688
15079.8,54.7008,133.782,19.337,94.6151
15833.8,57.2399,140.574,20.2434,97.5337
16625.5,59.8979,147.699,21.1832,100.526
17456.7,62.6803,155.173,22.1573,103.593
18329.6,65.593,163.013,23.1664,106.735
19246,68.6421,171.235,24.211,109.955
20208.3,71.834,179.858,25.292,113.252
21218.8,75.1754,188.902,26.4099,116.629
22279.7,78.6732,198.385,27.5655,120.085
23393.7,82.3348,208.329,28.7592,123.622
24563.4,86.1679,218.755,29.9916,127.242
25791.5,90.1805,229.686,31.2634,130.944
27081.1,94.3809,241.146,32.5749,134.729
28435.2,98.778,253.16,33.9268,138.599
29856.9,103.381,265.753,35.3193,142.553
31349.8,108.199,278.953,36.753,146.593
32917.3,113.243,292.789,38.2281,150.72
34563.1,118.523,307.289,39.745,154.933
36291.3,124.061,322.515,41.3046,159.234
38105.8,129.842,338.429,42.9058,163.622
40011.1,135.897,355.113,44.5493,168.096
42011.7,142.25,372.634,46.2361,172.66
44112.3,148.881,390.94,47.9647,177.31
46317.9,155.825,410.128,49.7359,182.047
48633.8,163.112,430.281,51.5504,186.874
51065.5,170.717,451.329,53.4065,191.785
53618.7,178.697,473.433,55.3056,196.785
56299.7,187.029,496.53,57.246,201.868
59114.7,195.77,520.776,59.2287,207.039
62070.4,204.9,546.115,61.2522,212.293
65173.9,214.474,572.704,63.3173,217.631
68432.6,224.476,600.499,65.4223,223.051
71854.2,234.962,629.651,67.5678,228.553
75447,245.92,660.131,69.7523,234.134
79219.3,257.404,692.086,71.9759,239.794
83180.3,269.408,725.505,74.2374,245.531
87339.3,281.982,760.525,76.5364,251.344
91706.2,295.132,797.159,78.8718,257.23
96291.6,308.9,835.528,81.2431,263.189
101106,323.3,875.671,83.649,269.216
106161,338.375,917.703,86.0889,275.312
111470,354.141,961.676,88.5616,281.473
117043,370.645,1007.72,91.0663,287.698
122895,387.904,1055.87,93.6016,293.982
129040,405.972,1106.29,96.1667,300.326
135492,424.864,1159.02,98.7603,306.725
142266,444.64,1214.22,101.381,313.178
149380,465.316,1271.93,104.029,319.681
156849,486.959,1332.36,106.698,326.226
164691,509.584,1395.52,109.385,332.799
172926,533.267,1461.65,112.086,339.394
181572,558.021,1530.76,114.798,346.005
190651,583.932,1603.11,117.52,352.628
200183,611.009,1678.71,120.249,359.256
210192,639.353,1757.85,122.983,365.886
220702,668.967,1840.53,125.719,372.51
231737,699.965,1927.08,128.456,379.125
243324,732.348,2017.48,131.191,385.724
255490,766.241,2112.1,133.922,392.303
268265,801.643,2210.91,136.645,398.856
281678,838.695,2314.33,139.36,405.377
295762,877.445,2422.48,142.063,411.862
310550,917.88,2535.32,144.75,418.3
326077,960.209,2653.43,147.414,424.674
342381,1004.47,2776.93,150.053,430.979
359500,1050.64,2905.73,152.665,437.212
377475,1098.97,3040.53,155.249,443.369
396349,1149.5,3181.46,157.803,449.449
416167,1202.31,3328.73,160.327,455.448
