energy (eV),92238->92238,92238->6012,6012->92238,6012->6012
1,1,0,0,1
1.1,1,0,0,1
1.2,1,0,0,1
1.3,1,0,0,1
1.4,1,0,0,1
1.5,1,0,0,1
1.6,1,0,0,1
1.7,1,0,0,1
1.8,1,0,0,1
1.9,1,0,0,1
2,1,0,0,1
2.1,1.0089,0,0,1.00507
2.2,1.02163,0,0,1.01379
2.3,1.03682,0,0,1.02407
2.4,1.05393,0,0,1.03641
2.5,1.07286,0,0,1.04993
2.6,1.09304,0,0,1.06463
2.7,1.11406,0,0,1.08009
2.8,1.13595,0,0,1.09625
2.9,1.15849,0,0,1.11298
3,1.18157,0,0,1.13015
3.1,1.20508,0,0,1.14771
3.2,1.22898,0,0,1.16559
3.3,1.2532,0,0,1.18372
3.4,1.2777,0,0,1.20209
3.5,1.30243,0,0,1.22064
3.6,1.32736,0,0,1.23934
3.7,1.35246,0,0,1.25818
3.8,1.37772,0,0,1.27713
3.9,1.40311,0,0,1.29617
4,1.42861,0,0,1.31529
4.1,1.45421,0,0,1.33448
4.2,1.4799,0,0,1.35371
4.3,1.50566,0,0,1.37299
4.4,1.53149,0,0,1.3923
4.5,1.55737,0,0,1.41163
4.6,1.5833,0,0,1.43099
4.7,1.60927,0,0,1.45035
4.8,1.63528,0,0,1.46973
4.9,1.66131,0,0,1.48911
5,1.68738,0,0,1.50849
5.1,1.71346,0,0,1.52786
5.2,1.73956,0,0,1.54723
5.3,1.76568,0,0,1.56659
5.4,1.79181,0,0,1.58593
5.5,1.81794,0.000142984,5.15058e-05,1.60526
5.6,1.84408,0.00126208,0.000804524,1.62457
5.7,1.87023,0.00268387,0.00204805,1.64387
5.8,1.89638,0.00449928,0.00368026,1.66314
5.9,1.92252,0.00650214,0.00561925,1.6824
6,1.94867,0.00879441,0.00783524,1.70163
6.1,1.97481,0.0112624,0.0103052,1.72084
6.2,2.00094,0.013915,0.0129951,1.74002
6.3,2.02707,0.0167391,0.0158906,1.75918
6.4,2.0532,0.0197228,0.0189802,1.77832
6.5,2.07931,0.0228503,0.0222476,1.79742
6.6,2.10542,0.0261152,0.0256837,1.8165
6.7,2.13151,0.0295101,0.029278,1.83555
6.8,2.1576,0.0330278,0.0330226,1.85458
6.9,2.18368,0.0366581,0.0369087,1.87357
7,2.20974,0.0403959,0.040928,1.89254
7.1,2.23586,0.0442461,0.0450794,1.9115
7.2,2.26191,0.0481809,0.0493464,1.93042
7.3,2.28796,0.0522082,0.0537258,1.94932
7.4,2.31398,0.0563169,0.0582109,1.96817
7.5,2.34,0.0605078,0.0627969,1.987
7.6,2.36599,0.0647731,0.0674785,2.0058
7.7,2.39197,0.0691112,0.072251,2.02457
7.8,2.41794,0.073518,0.07711,2.04331
7.9,2.44407,0.0780088,0.0820603,2.06208
8,2.47003,0.0825463,0.0870849,2.08079
8.1,2.49602,0.0871487,0.0921845,2.09947
8.2,2.52194,0.0918032,0.0973548,2.11811
8.3,2.54788,0.0965154,0.102593,2.13673
8.4,2.57377,0.101277,0.107897,2.15531
8.5,2.59966,0.10609,0.113263,2.17385
8.6,2.62566,0.110973,0.1187,2.19241
8.7,2.65153,0.115883,0.124189,2.21092
8.8,2.67741,0.120843,0.129732,2.22939
8.9,2.70324,0.125839,0.135327,2.24784
9,2.72907,0.13088,0.140973,2.26625
