energy (eV),92238->92238,92238->6012,6012->92238,6012->6012
60,1,0,0,1
63,1,0,0,1
66.15,1,0,0,1
69.4575,1,0,0,1
72.9304,1,0,0,1
76.5769,1,0,0,1
80.4057,1,0,0,1
84.426,1,0,0,1
88.6473,1,0,0,1
93.0797,1,0,0,1
97.7337,1,0,0,1
102.62,1,0,0,1
107.751,1,0,0,1
113.139,1,0,0,1
118.796,1,0,0,1
124.736,1.00647,0,0,1.00247
130.972,1.01965,0,0,1.00957
137.521,1.03624,0,0,1.01939
144.397,1.05641,0,0,1.03171
151.617,1.0801,0,0,1.0464
159.198,1.10645,0,0,1.06332
167.158,1.1358,0,0,1.08223
175.516,1.16776,0,0,1.10322
184.291,1.20244,0,0,1.12588
193.506,1.23981,0,0,1.15048
203.181,1.28021,0,0,1.17697
213.34,1.32286,0,0,1.20519
224.007,1.36819,0,0,1.23521
235.208,1.41641,0,0,1.26699
246.968,1.46743,0,0,1.30059
259.317,1.52138,0,0,1.33599
272.282,1.57845,0,0,1.37329
285.896,1.63845,0,0,1.4124
300.191,1.70171,0,0,1.45323
315.201,1.768,0,0,1.49607
330.961,1.838,0.000265907,8.66178e-05,1.54093
347.509,1.91139,0.00462854,0.0031003,1.58766
364.884,1.98854,0.0113745,0.00906725,1.63656
383.129,2.06962,0.020136,0.0173999,1.68747
402.285,2.15456,0.0308139,0.0279878,1.74058
422.399,2.24393,0.043369,0.0407974,1.79598
443.519,2.33765,0.0577529,0.0558063,1.85366
465.695,2.43601,0.0739579,0.0730091,1.91367
488.98,2.53884,0.0919783,0.0924095,1.97612
513.429,2.64702,0.111832,0.114027,2.04105
539.1,2.76018,0.133536,0.137885,2.10854
566.055,2.87855,0.157126,0.164015,2.17859
594.358,3.00282,0.182644,0.192467,2.25134
624.076,3.13285,0.210138,0.223288,2.32682
655.28,3.26911,0.239667,0.256538,2.40515
688.044,3.41166,0.271295,0.292285,2.48638
722.446,3.56102,0.305103,0.330616,2.57059
758.568,3.71729,0.341194,0.37165,2.65788
796.497,3.88089,0.379677,0.415512,2.74835
836.322,4.05238,0.420663,0.462331,2.84206
878.138,4.23169,0.464281,0.512258,2.93907
922.045,4.41935,0.510665,0.56545,3.0395
968.147,4.61581,0.559958,0.622069,3.14348
1016.55,4.82124,0.612304,0.682276,3.25103
1067.38,5.03653,0.667864,0.746253,3.36224
1120.75,5.26137,0.726739,0.814102,3.47705
1176.79,5.49662,0.789174,0.886102,3.59567
1235.63,5.74329,0.855472,0.962592,3.71845
1297.41,6.00121,0.925678,1.04365,3.84518
1362.28,6.27027,0.99987,1.12937,3.97575
1430.39,6.55205,1.07848,1.22019,4.11055
1501.91,6.84693,1.1617,1.31634,4.24967
1577.01,7.15563,1.24985,1.41817,4.39329
1655.86,7.47802,1.34298,1.52577,4.54118
1738.65,7.81537,1.4415,1.63955,4.69364
1825.59,8.16824,1.54568,1.75982,4.85077
1916.86,8.53746,1.6558,1.88687,5.01263
2012.71,8.92388,1.77219,2.02106,5.17935
2113.34,9.32798,1.89516,2.16272,5.35097
2219.01,9.75059,2.02506,2.31223,5.52762
2329.96,10.1928,2.16225,2.46992,5.7094
2446.46,10.6553,2.3071,2.6362,5.89639
2568.78,11.1391,2.46003,2.81149,6.08875
2697.22,11.6453,2.62146,2.99623,6.28657
2832.08,12.1746,2.79172,3.19071,6.48982
2973.69,12.7287,2.97147,3.39559,6.69883
3122.37,13.3081,3.16103,3.61119,6.91354
3278.49,13.9146,3.36102,3.8381,7.13418
3442.41,14.5491,3.57188,4.07671,7.36075
3614.53,15.2131,3.79426,4.32766,7.59347
3795.26,15.9076,4.0286,4.59131,7.83228
3985.02,16.6346,4.27567,4.86836,8.07742
4184.28,17.3957,4.53605,5.15933,8.32898
4393.49,18.1919,4.81041,5.4648,8.58706
4613.16,19.025,5.09944,5.78535,8.85171
4843.82,19.8969,5.4039,6.12159,9.12308
5086.01,20.8093,5.72458,6.47418,9.40125
5340.31,21.7642,6.0623,6.84375,9.68635
5607.33,22.7634,6.4179,7.23098,9.97846
5887.7,23.8093,6.7923,7.63655,10.2777
6182.08,24.9038,7.18643,8.06116,10.5842
6491.18,26.0494,7.60129,8.50552,10.898
6815.74,27.2483,8.03788,8.97035,11.2193
7156.53,28.5032,8.4973,9.45634,11.548
7514.36,29.8165,8.98067,9.96425,11.8844
7890.08,31.1912,9.48918,10.4948,12.2286
8284.58,32.63,10.0241,11.0488,12.5805
8698.81,34.1359,10.5866,11.6271,12.9404
9133.75,35.7122,11.1783,12.2303,13.3083
9590.44,37.3622,11.8004,12.8593,13.6844
10070,39.0892,12.4544,13.515,14.0687
10573.5,40.897,13.142,14.198,14.4614
11102.1,42.7893,13.8648,14.9092,14.8625
11657.2,44.7701,14.6244,15.6495,15.2722
12240.1,46.8436,15.4227,16.4196,15.6906
12852.1,49.0141,16.2615,17.2204,16.1177
13494.7,51.2862,17.1429,18.0526,16.5538
14169.4,53.6644,18.0687,18.917,16.9989
14877.9,56.154,19.0413,19.8145,17.453
15621.8,58.7602,20.0628,20.7458,17.9164
16402.9,61.4883,21.1355,21.7117,18.3891
17223,64.3442,22.262,22.7129,18.8712
18084.2,67.3337,23.4448,23.7501,19.3629
18988.4,70.4701,24.6893,24.825,19.8646
19937.8,73.7441,25.9921,25.9367,20.3756
20934.7,77.1728,27.3601,27.0865,20.8965
21981.5,80.7703,28.7991,28.2759,21.4277
23080.5,84.5263,30.3053,29.5041,21.9686
24234.6,88.4594,31.8864,30.7723,22.5197
25446.3,92.586,33.5491,32.082,23.0813
26718.6,96.8948,35.289,33.4322,23.6529
28054.5,101.407,37.1148,34.824,24.2348
29457.3,106.14,39.0342,36.2588,24.8276
30930.1,111.083,41.0425,37.7355,25.4306
32476.6,116.259,43.1492,39.255,26.0441
34100.5,121.688,45.3631,40.8185,26.6686
35805.5,127.359,47.6793,42.4251,27.3035
37595.7,133.295,50.1081,44.0753,27.9491
39475.5,139.522,52.6596,45.7702,28.6058
41449.3,146.027,55.3289,47.5087,29.2729
43521.8,152.847,58.1314,49.2918,29.9511
45697.9,159.975,61.0644,51.1187,30.6398
47982.8,167.447,64.1424,52.9902,31.3394
50381.9,175.258,67.3639,54.9054,32.0495
52901,183.443,70.7435,56.8649,32.7704
55546,192.001,74.2809,58.8677,33.5018
58323.3,200.968,77.9905,60.9143,34.2438
61239.5,210.345,81.8735,63.0036,34.9961
64301.5,220.166,85.9439,65.1359,35.7588
67516.6,230.44,90.2052,67.3101,36.5316
70892.4,241.197,94.6702,69.5263,37.3145
74437,252.45,99.3445,71.7833,38.1072
78158.9,264.232,104.241,74.081,38.9097
82066.8,276.557,109.367,76.4183,39.7216
86170.1,289.461,114.735,78.7947,40.543
90478.6,302.958,120.354,81.2091,41.3733
95002.6,317.089,126.239,83.6611,42.2127
99752.7,331.868,132.396,86.1492,43.0605
104740,347.342,138.845,88.673,43.9169
109977,363.523,145.591,91.2311,44.7812
115476,380.465,152.655,93.8227,45.6534
121250,398.18,160.044,96.4464,46.533
127313,416.727,167.782,99.1015,47.4199
133678,436.118,175.873,101.786,48.3136
140362,456.419,184.344,104.5,49.214
147380,477.642,193.202,107.241,50.1204
154749,499.86,202.475,110.008,51.0323
162487,523.085,212.169,112.793,51.9476
170611,547.398,222.318,115.593,52.8653
179142,572.808,232.924,118.406,53.7845
188099,599.408,244.028,121.23,54.7048
197504,627.205,255.63,124.062,55.6253
207379,656.304,267.775,126.9,56.5454
217748,686.705,280.462,129.741,57.4643
228635,718.53,293.743,132.583,58.3814
240067,751.774,307.614,135.423,59.2958
252070,786.573,322.132,138.26,60.2069
264674,822.918,337.294,141.09,61.114
277907,860.96,353.161,143.912,62.0164
291803,900.749,369.753,146.722,62.9134
306393,942.263,387.063,149.518,63.804
321712,985.725,405.181,152.291,64.6856
337798,1031.18,424.126,155.039,65.5573
354688,1078.58,443.88,157.759,66.4187
372422,1128.2,464.555,160.45,67.2693
391044,1180.09,486.17,163.111,68.1089
410596,1234.32,508.755,165.74,68.937
431125,1290.83,532.283,168.337,69.7534
452682,1349.97,556.906,170.9,70.5579
475316,1411.81,582.644,173.429,71.3503
499082,1476.42,609.527,175.923,72.1304
524036,1543.9,637.6,178.382,72.8982
550237,1614.34,666.898,180.805,73.6535
577749,1687.88,697.48,183.192,74.3965
606637,1764.65,729.399,185.544,75.127
636969,1844.8,762.712,187.859,75.8452
668817,1928.45,797.473,190.139,76.5513
702258,2015.75,833.743,192.383,77.2453
737371,2106.84,871.581,194.593,77.9275
774239,2201.88,911.049,196.769,78.5982
812951,2301.02,952.211,198.911,79.2576
853599,2404.43,995.134,201.022,79.906
