	energy  k11	        k12	        k21	        k22	        k11 / k12	  k21/k22	    g11/g12	    g21/g22
5.00E+02	0.364480328	0.227396908	0.378802801	0.086218239	1.602837656	4.393534405	4.274233751	11.71609175
1.00E+03	0.38915771	0.260261676	0.395295913	0.184554058	1.495255531	2.141897707	3.987348083	5.711727218
1.00E+04	0.416164557	0.293400498	0.418210625	0.283170159	1.418418036	1.476888053	3.782448096	3.938368141
1.00E+05	0.422710728	0.295857647	0.424756796	0.287673377	1.428763908	1.476524526	3.810037087	3.937398735
1.00E+06	0.416983607	0.288084459	0.41493754	0.279900188	1.447435274	1.482448235	3.859827397	3.953195293
1.00E+07	0.417394689	0.286446359	0.419440757	0.276216021	1.457147827	1.518524365	3.885727539	4.049398306
