energy (eV),92238,40091,6012
89.9399,75.297,74.4607,59.4966
94.4369,78.9255,78.0433,62.2916
99.1588,82.7282,81.7975,65.2168
104.117,87.2367,86.1646,68.725
109.323,91.7214,90.5275,72.24
114.789,96.3818,95.0615,75.8649
120.528,101.248,99.7951,79.6353
126.555,106.339,104.748,83.5697
132.882,111.665,109.933,87.6798
139.526,117.239,115.365,91.975
146.503,123.079,121.057,96.4688
153.828,129.197,127.022,101.171
161.519,135.608,133.275,106.09
169.595,142.325,139.829,111.237
178.075,149.368,146.699,116.626
186.979,156.75,153.901,122.264
196.328,164.489,161.449,128.163
206.144,172.602,169.361,134.336
216.451,181.107,177.655,140.796
227.274,190.024,186.349,147.555
238.637,199.373,195.463,154.628
250.569,209.175,205.017,162.028
263.098,219.452,215.035,169.773
276.253,230.227,225.538,177.878
290.065,241.525,236.551,186.359
304.569,253.371,248.098,195.235
319.797,265.79,260.205,204.523
335.787,278.812,272.899,214.241
352.576,292.466,286.21,224.411
370.205,306.781,300.167,235.051
388.715,321.791,314.801,246.184
408.151,337.528,330.145,257.832
428.558,354.027,346.234,270.017
449.986,371.327,363.104,282.765
472.486,389.464,380.792,296.101
496.11,408.481,399.339,310.05
520.916,428.419,418.785,324.64
546.961,449.321,439.175,339.901
574.309,471.237,460.554,355.861
603.025,494.216,482.969,372.551
633.176,518.309,506.471,390.004
664.835,543.571,531.113,408.254
698.077,570.058,556.95,427.335
732.98,597.83,584.038,447.284
769.629,626.949,612.439,468.138
808.111,657.481,642.215,489.937
848.517,689.492,673.434,512.722
890.942,723.056,706.164,536.535
935.489,758.248,740.479,561.42
982.264,795.145,776.455,587.423
1031.38,833.83,814.172,614.592
1082.95,874.391,853.713,642.976
1137.09,916.917,895.167,672.626
1193.95,961.503,938.625,703.595
1253.65,1008.25,984.184,735.94
1316.33,1057.26,1031.95,769.715
1382.14,1108.64,1082.01,804.981
1451.25,1162.51,1134.5,841.799
1523.81,1218.99,1189.52,880.233
1600,1278.2,1247.2,920.347
1680,1340.28,1307.66,962.209
1764,1405.35,1371.04,1005.89
1852.21,1473.58,1437.47,1051.46
1944.82,1545.1,1507.11,1099
2042.06,1620.08,1580.11,1148.58
2144.16,1698.69,1656.62,1200.28
2251.37,1781.09,1736.82,1254.18
2363.94,1867.47,1820.88,1310.37
2482.13,1958.02,1908.98,1368.93
2606.24,2052.95,2001.33,1429.96
2736.55,2152.45,2098.12,1493.54
2873.38,2256.76,2199.56,1559.76
3017.05,2366.1,2305.88,1628.73
3167.9,2480.71,2417.31,1700.54
3326.29,2600.84,2534.1,1775.3
3492.61,2726.77,2656.49,1853.09
